formatted_name,name,packing_quantity,loose_quantity,fc_id,uuid,distributor_name,order_id,distributor_id,drug_variation_id,medlife_product_id,order_date,mrp,product_code
Coronation Deluxe Standard Hot Water Bag,Coronation Deluxe Standard Hot Water Bag,1,1,1,017757aecc2149aca3dd5aa3fcfddaad,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,160834,CORONBD01A,2021-01-12 15:03:51+00,389.0000,tempcode-9-1-2021_559
Ensure Diabetes Care Vanilla 200 GM powder,Ensure Diabetes Care Vanilla,1,1,1,d5699a5834e0483aa907e51ed83ac36e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,168028,ENSURPJ08A,2021-01-12 15:03:51+00,380.0000,tempcode-9-1-2021_69
Ecotel 40 mg (strip of 10 tablets),Ecotel,10,10,1,011622fe09444d868eb46d5f1f4cf747,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,61959,ECOTETN02A,2021-01-12 15:03:51+00,7.2200,150681
Gelusil Xtra Cool Tab Blue 10 (strip of 10 tablets),Gelusil Xtra Cool Tab Blue,10,10,1,3dfceb4a2dfc4d69b5c98eb130c52a58,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,162912,GELUSTS01A,2021-01-12 15:03:51+00,1.0000,tempcode-10-08-2020_32
Ropraz DSR (box of 10 sustained release capsules),Ropraz DSR,10,10,1,ae801e9e05c74192a03587fc6a3022be,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,69046,,2021-01-12 15:03:51+00,9.1500,tempcode-9-1-2021_757
Harty D (strip of 10 capsules),Harty D,10,10,1,65320075231f494fa6b3d9bbcbed157d,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,171875,HARTYCN02A,2021-01-12 15:03:51+00,19.5000,I03396
Cheston Cold & Flu (strip of 10 tablets),Cheston Cold & Flu,10,10,1,f4b1967d087448bb966e3070344fec9a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,146521,CHESTTS01A,2021-01-12 15:03:51+00,5.8000,tempcode-9-1-2021_574
Moods Strawberry Condom (pack of 3),Moods Strawberry Condom,3,3,1,2701bb94238f4109ac943348b5ea61e5,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,85565,MOODSCC17A,2021-01-12 15:03:51+00,10.0000,tempcode-9-1-2021_823
Kamasutra Ribbed Desire Series Condom (pack of 3),Kamasutra Ribbed Desire Series Condom,3,3,1,4c4a544de522479b93fc0af3483cdcf8,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,151855,KAMASCC04A,2021-01-12 15:03:51+00,10.0000,tempcode-7-1-2021_67
Kama Sutra Longlast Pleasure Series Condoms (pack of 3),Kama Sutra Longlast Pleasure Series Condoms,3,3,1,c3df64171e544fffa56175ad8316e774,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,151976,KAMASCC07A,2021-01-12 15:03:51+00,13.3333,tempcode-7-1-2021_96
Invigra Ribbed And Dotted Condom Max Pleasure Condoms (pack of 3),Invigra Ribbed And Dotted Condom Max Pleasure Condoms,3,3,1,3be284fd715c43b1b021012390310a18,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,152120,INVIGCP33A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_13
Kamasutra Excite Butterscotch Condom (pack of 3),Kamasutra Excite Butterscotch Condom,3,3,1,e182c687ad9945549d15952e8bc1162e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,152675,KAMASCC30A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_25
Durex Kohinoor Silky Chocolate Condoms (pack of 3),Durex Kohinoor Silky Chocolate Condoms,3,3,1,c064247c27354a2d89093b3cae8da8c6,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153119,DUREXCP44A,2021-01-12 15:03:51+00,9.6667,tempcode-7-1-2021_5
Moods Silver 1500 Dots Condom (pack of 3),Moods Silver 1500 Dots Condom,3,3,1,45e14e473f3b474ca3010eda9703a8ac,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153358,MOODSCC58A,2021-01-12 15:03:51+00,16.6667,tempcode-9-1-2021_935
Kamasutra Condoms Strawberry (pack of 3),Kamasutra Condoms Strawberry,3,3,1,1435c68ee92240d1b58c4473523e0279,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153497,KAMASCC25A,2021-01-12 15:03:51+00,8.3333,tempcode-9-1-2021_1004
Moods Absolute Xtasy Condoms (pack of 3),Moods Absolute Xtasy Condoms,3,3,1,2af270b1fa6e48c7a1c696ac9fdc571a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153670,MOODSCC07A,2021-01-12 15:03:51+00,10.0000,tempcode-9-1-2021_60
Skore Pinacolada With Raised Dots Condoms (pack of 3),Skore Pinacolada With Raised Dots Condoms,3,3,1,3361bf474320437896e166009d33fd0f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153830,SKORECP29A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_51
Kama Sutra Pink Passion Condoms (pack of 3),Kama Sutra Pink Passion Condoms,3,3,1,9f197a800e7f4ac5bbfa2010ca05715c,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153897,KAMASCC40A,2021-01-12 15:03:51+00,6.6667,tempcode-7-1-2021_64
Kama Sutra Grapes Condoms (pack of 3),Kama Sutra Grapes Condoms,3,3,1,4ac1d2da113349e2b77452bb489bdefd,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,154171,KAMASCC38A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_15
Moods Electrify Condom (pack of 3),Moods Electrify Condom,3,3,1,192a2ab4a3e14c33ac0c236fc4b75e74,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,154226,MOODSCP15A,2021-01-12 15:03:51+00,16.6667,tempcode-7-1-2021_32
Kamasutra Excite Condom Cappuccino (pack of 3),Kamasutra Excite Condom Cappuccino,3,3,1,3ab33171a583498983be9928e972cc57,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,154235,KAMASCC28A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_33
Kamasutra Vanilla Condoms (pack of 3),Kamasutra Vanilla Condoms,3,3,1,8b2803a850114687aa470fdd0f8fdf13,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,154315,KAMASCC34A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_44
Invigra Dotted Alphonso Flavoured Condoms (pack of 3),Invigra Dotted Alphonso Flavoured Condoms,3,3,1,ce64b8284221489186c1c4dc8b8ec305,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,154582,INVIGCP27A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_108
Moods Aloe Vera Condoms (pack of 3),Moods Aloe Vera Condoms,3,3,1,5e3871a25bf344b3b6338bacf5f90657,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,155089,MOODSCC05A,2021-01-12 15:03:51+00,10.0000,tempcode-9-1-2021_769
Kamasutra Dott Max Condoms (pack of 3),Kamasutra Dott Max Condoms,3,3,1,ab0e24b6c59648b39b9033d0ceb27201,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,155473,KAMASCC44A,2021-01-12 15:03:51+00,16.6667,tempcode-7-1-2021_78
Invigra Condoms Strawberry (pack of 3),Invigra Condoms Strawberry,3,3,1,24c2d115b5de4ad898b590946fd3c508,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,157889,INVIGCP32A,2021-01-12 15:03:51+00,8.3333,tempcode-9-1-2021_131
Kamasutra Excite Grapes Condoms (pack of 3),Kamasutra Excite Grapes Condoms,3,3,1,0373f8a52a9042fdaef0d0f4c1041b8e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,159478,KAMASCP12A,2021-01-12 15:03:51+00,8.3333,tempcode-7-1-2021_55
Moods Allnight Condoms (pack of 3),Moods Allnight Condoms,3,3,1,8c22be36811a40d089ef989aa99cfcf3,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,162705,MOODSCC01A,2021-01-12 15:03:51+00,10.0000,tempcode-9-1-2021_468
Moods Silver Condoms Cool (pack of 3),Moods Silver Condoms Cool,3,3,1,ac8ae233d0c745dea9afb93ac1687f93,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,165752,MOODSCC12A,2021-01-12 15:03:51+00,16.6700,tempcode-9-1-2021_983
Moods Ribbed Condom (pack of 3),Moods Ribbed Condom,3,3,1,bd98be9537064f9db2c97e9185a52641,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,168337,MOODSCC15A,2021-01-12 15:03:51+00,10.0000,tempcode-9-1-2021_228
Kamasutra Superthin Condom (pack of 3),Kamasutra Superthin Condom,3,3,1,b2ed52ec124144949e500083e5bbe607,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,169931,,2021-01-12 15:03:51+00,10.0000,tempcode-17-08-2020_1
Durex Feel Thin Condoms (pack of 3),Durex Feel Thin Condoms,3,3,1,6bbf3993b0374fea840b0d2bbb96a3f1,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,171334,DUREXCP06A,2021-01-12 15:03:51+00,22.0000,tempcode-9-1-2021_701
Vitoc D (box of 1 sachet),Vitoc D,1,1,1,804a8c74f6d44126b095d33fb3ec8d20,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,91445,VITOCSN02A,2021-01-12 15:03:51+00,27.5000,tempcode-9-1-2021_694
Vigomax Forte (strip of 20 tablets),Vigomax Forte,20,20,1,f7b184d0f3ac420ca3a5ab8d90d8a9e1,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,75608,VIGOMTN01A,2021-01-12 15:03:51+00,10.2500,Feb 26th Ord 532
Dynamic Ankle Binder Xl,Dynamic Ankle Binder Xl,1,1,1,f54a38a1a3b642e086dd5d39e020f092,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,162597,ANKLESP04A,2021-01-12 15:03:51+00,280.0000,tempcode-9-1-2021_425
Flamingo Ankle Binder Size Xxl,Flamingo Ankle Binder Size Xxl,1,1,1,db3ce7fcc19c41418a7f8ebe4aabc0cd,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,160727,FLAMISP18D,2021-01-12 15:03:51+00,210.0000,tempcode-9-1-2021_501
Spasmol (strip of 10 tablets),Spasmol,10,10,1,a2e16e9fb5e242a983489f04bb8df495,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,92297,,2021-01-12 15:03:51+00,3.7000,tempcode-9-1-2021_93
Shelgain Plus (strip of 10 tablets),Shelgain Plus,10,20,1,159bac307c9c42018521beddc11f96df,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,94352,SHELGTS06A,2021-01-12 15:03:51+00,11.0000,162145
Spasmol D (strip of 10 tablets),Spasmol D,10,10,1,287862747cf04eddb46d41972cf2ca2e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,101980,,2021-01-12 15:03:51+00,5.2000,tempcode-9-1-2021_838
Foracort 6/200 Mdi (box of 1 inhaler),Foracort 6/200 Mdi,1,1,1,18785b793f7d4ebc956dfdea4ffd2273,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,131423,FORACMN03A,2021-01-12 15:03:51+00,297.2800,tempcode_27_02_2020_am69
Nintedanib Soft Gelatin 100 mg (strip of 10 capsules),Nintedanib Soft Gelatin,10,10,1,c6c86df8c781437698e673ecf060db91,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,113916,,2021-01-12 15:03:51+00,1299.2500,tempcode-9-1-2021_666
Foracort 200 mdi (box of 1 autoinhaler),Foracort,1,1,1,fa46f09e88ed48ecafb70f65ab985a47,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,89675,,2021-01-12 15:03:51+00,890.0000,tempcode-9-1-2021_830
Vildanat M 50MG/1000MG (strip of 10 tablets),Vildanat M,10,30,1,284b8792eb7a484bb3a639b5826b4880,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,186373,VILDATS16A,2021-01-12 15:03:51+00,6.9000,tempcode-9-1-2021_28
Timanol 0.5 (bottle of 1 eye drops),Timanol 0.5,1,1,1,7fcb4ac1ab4c4e4295e25d036d679917,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,153929,TIMANEN01A,2021-01-12 15:03:51+00,45.5900,I04358
Olopine Kt Eye Drops 5 ML (bottle of 1 eye drops),Olopine Kt Eye Drops,1,1,1,4f925cc49e8346c994cf3184ea87d7d3,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,178300,OLOPIEB02A,2021-01-12 15:03:51+00,122.0000,tempcode-9-1-2021_87
Oleptal Dt 150 mg (strip of 10 tablets),Oleptal Dt,10,10,1,7700e704457e4169a43484d50dd73011,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,1343,OLEPTTS01A,2021-01-12 15:03:51+00,8.9000,tempcode-9-1-2021_696
Oleptal Dt 150 mg (strip of 15 tablets),Oleptal Dt,15,60,1,482fa5551bf54da3a522534ff8b4d3f4,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,109648,OLEPTTN02A,2021-01-12 15:03:51+00,6.5133,161092
Cofsils Orange (box of 8 lozenges),Cofsils,8,8,1,2fbca04f6bfc46bb90c9bc16c390ac70,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,78929,COFSITS01A,2021-01-12 15:03:51+00,3.7500,tempcode_11_07_2020_am31
Cheston Cold Total (strip of 10 tablets),Cheston Cold Total,10,10,1,5abaff81c1d046b38218dd76d9fc4f77,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,93577,CHESTTN04A,2021-01-12 15:03:51+00,7.0000,Feb 26th Ord 393
Renu fresh (solution) 500 ml solution,Renu fresh (solution),1,1,1,13fbdc92cd384ef483cfad5d17124991,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,115525,RENUMSB06A,2021-01-12 15:03:51+00,590.0000,tempcode-7-1-2021_75
Strepsils Orange 8's (packet of 8 lozenges),Strepsils Orange,8,8,1,837bcccb89e84c429344dd0f7f3aff20,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,151026,STREPTS05A,2021-01-12 15:03:51+00,3.0000,I03256
Zandu Balm 9 ml,Zandu Balm,1,1,1,7771485c44eb41e1ae83120c0de7aa0f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,161934,ZANDUBB03A,2021-01-12 15:03:51+00,37.0000,tempcode-7-1-2021_35
Cheston Cold Total (strip of 10 tablets),Cheston Cold Total,10,10,1,5abaff81c1d046b38218dd76d9fc4f77,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,93577,CHESTTN04A,2021-01-12 15:03:51+00,7.0000,Feb 26th Ord 393
Renu Multi Purpose 120ml solution,Renu Multi Purpose,1,1,1,75884d8c826f4d648da6008f71fccd02,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,167725,RENUMSB05A,2021-01-12 15:03:51+00,270.0000,Feb 26th Ord 516
Drep Ear 5 ml drops,Drep Ear,1.0,1,1,6bac9bfd71084b94a8de2e19c287a661,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,66073,DREPZEB01A,2021-01-12 15:03:51+00,80.0000,I02122
Fem Diamond bleach 10 gm cream,Fem Diamond bleach,1,1,1,3180c476089944648dad520d70419066,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,138014,,2021-01-12 15:03:51+00,38.0000,tempcode-9-1-2021_422
Dewmoist 75 gm (box of 1 soap),Dewmoist,1,1,1,8904cc8c0e714e00ba56da8e09b41ff4,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,164380,,2021-01-12 15:03:51+00,125.0000,I05649
Rexipra 15 mg (strip of 10 tablets),Rexipra,10,10,1,49284b0814cf492a839cf0eb2b5e5ffb,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,100321,,2021-01-12 15:03:51+00,11.9000,tempcode-9-1-2021_1042
Pears Pure And Gentle 50 GM (packet of 1 soap),Pears Pure And Gentle,1,1,1,6cd8ad74ab1a49e8a51c3d1a39bceb81,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,167236,PEARSSS07A,2021-01-12 15:03:51+00,23.0000,tempcode-9-1-2021_700
Uprise D3 60 K (strip of 10 capsules),Uprise D3,10,10,1,b775e115c0904a9b9f58b0c6e0c15634,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,166558,UPRISCS07A,2021-01-12 15:03:51+00,26.3720,tempcode-9-1-2021_346
Eno Regular 100 gm powder,Eno,1,1,1,fce070b263df4bfcb4f742bdadd9abf0,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,84446,ENOZZPN01A,2021-01-12 15:03:51+00,120.0000,tempcode-7-1-2021_113
Eno Lemon 100 gm powder,Eno,1,1,1,75c07bad52dc43548e47f6f37b3ebed7,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,138780,ENOLEPN01A,2021-01-12 15:03:51+00,110.0000,Apr 30th Ord 281
Spoo 75 ML (bottle of 1 baby shampoo),Spoo,1,1,1,33f2aaa8b0034e1cbe5bfa63e036bbfa,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,163860,SPOOBSN01A,2021-01-12 15:03:51+00,155.0000,tempcode-10-08-2020_4
Hicet 30 ml syrup,Hicet,1,1,1,3605898380294756b890783bde3b56c4,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,63230,HICETSN01A,2021-01-12 15:03:51+00,35.2800,tempcode-9-1-2021_926
Ascoril Plus 200 ml (box of 1 expectorant),Ascoril Plus,1,1,1,66baaf0645f54022a5549ac76a9ef7b8,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,90954,ASCOREN04A,2021-01-12 15:03:51+00,163.0000,I03119
Ascoril D 12 Orange Flavour 60 ml (bottle of 1 suspension),Ascoril D 12 Orange Flavour,1,1,1,afbbb6c05ffe4ff9ad29fa678253693d,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,155807,ASCORSB07A,2021-01-12 15:03:51+00,76.0000,I03144
Ascoril 120 ML (bottle of 1 expectorant),Ascoril,1,1,1,6e1b1f965e0d44a78b21b7bba7abc290,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,184300,,2021-01-12 15:03:51+00,115.0000,tempcode-9-1-2021_1049
Calcidef (strip of 10 tablets),Calcidef,10,10,1,b6d1dc33b7704fa0a538365b4b3dae40,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,182259,CALCITN16A,2021-01-12 15:03:51+00,13.8000,tempcode-9-1-2021_1056
Zensoft Maxx 200 ml (box of 1 lotion),Zensoft Maxx,1,1,1,73dc0ae28df44d71994e6d50f220aad5,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,88519,ZENSOLB02A,2021-01-12 15:03:51+00,350.0000,I01050
Eraser Lip Balm 10 GM,Eraser Lip Balm,1,1,1,19204f682d6f4299b88851b051fa3554,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,167134,ERASEBB01A,2021-01-12 15:03:51+00,20.0000,tempcode-9-1-2021_651
Restyl 0.5mg (strip of 15 tablets),Restyl,15,15,1,e057d103dd0f45598c4ea33e47eeee20,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,175692,,2021-01-12 15:03:51+00,3.1493,256694
Coaltar S 60ML (bottle of 1 lotion),Coaltar S,1,1,1,a42d53acca694bb782df680802be6f45,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,151628,COALTLB01A,2021-01-12 15:03:51+00,289.0000,tempcode-9-1-2021_61
Colgate Kids Tooth Brush 2+ years (packet of 1 toothbrush),Colgate Kids Tooth Brush,1,1,1,5ac7f84768ea408f85e51dabcf949f9a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,185348,COLGATP23A,2021-01-12 15:03:51+00,20.0000,I07906
Veet Men Hair Removal For Normal Skin 50 gm cream,Veet Men Hair Removal For Normal Skin,1,1,1,a9523728f8cf4b31b06a991d9c5a2f8d,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,167170,VEETMCT02A,2021-01-12 15:03:51+00,125.0000,tempcode-9-1-2021_670
Glychek M Plus (strip of 10 tablets),Glychek M Plus,10,10,1,2d4d95548b394d00bcc0387a241e1d1d,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,148674,GLYCHTS05A,2021-01-12 15:03:51+00,5.3600,Feb 26th Ord 333
Bioline White Petroleum 20 gm jelly,Bioline White Petroleum,1,1,1,730b54259b09474a8e4479defc3b49bc,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,163437,BIOLIJB02A,2021-01-12 15:03:51+00,35.0000,June 4t Ord 54
Bioline Jelly 100gm jelly,Bioline Jelly,1,1,1,b1c248f94a284cf8aa7d5f2a3736d08a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,163787,BIOLIJJ01A,2021-01-12 15:03:51+00,90.0000,tempcode-7-1-2021_104
Mim Z Drops drops,Mim Z Drops,1,1,1,93ef69bb954d482b97e30beb1f18445a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,70996,MIMZZDN01A,2021-01-12 15:03:51+00,86.0000,tempcode-31-12-2020_32
Ultra D3 800IU drops,Ultra D3,1,1,1,efbf913c7c58460485ed4a590a94325e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,150649,ULTRAOB01A,2021-01-12 15:03:51+00,71.0000,I00070
Pan 40 mg (strip of 10 tablets),Pan,10,10,1,0942934485c347c08f0198914cb00e9f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,88365,PANZZTS02A,2021-01-12 15:03:51+00,9.2000,tempcode-9-1-2021_178
T Pan 40 mg (strip of 10 tablets),T Pan,10,10,1,f0e621dd7c004220ab91444fa9e9bfda,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,155696,TPANZTS01A,2021-01-12 15:03:51+00,10.1000,tempcode-9-1-2021_42
Sofinox Skin 10 gm cream,Sofinox Skin,1,1,1,3acfa7709ef14ad18977794d817b86d2,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,6368,SOFINCN02A,2021-01-12 15:03:51+00,100.0200,103579
Sofinox Skin 5 gm cream,Sofinox Skin,1,1,1,c4de36a72afb4479bccf5dacd0b479fb,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,6386,SOFINCN03A,2021-01-12 15:03:51+00,50.0100,tempcode-9-1-2021_154
3M Micropore Tape 1 Inch,3M Micropore Tape 1 Inch,1,1,1,b770af1866884adaa1d6bf8cbede9c88,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,176212,3MMICTP10A,2021-01-12 15:03:51+00,66.0000,tempcode-9-1-2021_64
Trimol (strip of 10 tablets),Trimol,10,10,1,81c5d0cae8744be596f55202d0dfa210,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,96362,,2021-01-12 15:03:51+00,2.0000,tempcode-9-1-2021_80
Trimol S (strip of 10 tablets),Trimol S,10,10,1,1cd745ed60424f4d8c52f352cc10c09f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,178625,TRIMOTN02A,2021-01-12 15:03:51+00,1.9250,tempcode-9-1-2021_255
Moov Pain Relief Specialist Active Spray 15 GM spray,Moov Pain Relief Specialist Active Spray,1,1,1,6c4aff304d824d0590483515338d9e3e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,175632,MOOVPSB01A,2021-01-12 15:03:51+00,66.0000,tempcode-9-1-2021_806
Brufen Power Metered Pain Relief 20 GM spray,Brufen Power Metered Pain Relief,1,1,1,f9ce5dbf10184c47b960ecab36605a8e,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,186077,BRUFELB02A,2021-01-12 15:03:51+00,85.0000,tempcode-9-1-2021_899
Yogi Kanthika (packet of 15 capsules),Yogi Kanthika,15,15,1,2bd0f1729b4f4cbda47400fe40273b3a,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,177912,YOGIKTS01A,2021-01-12 15:03:51+00,0.6667,tempcode-9-1-2021_924
Zandu Chyawanprash Awaleha 1kg (jar of 1 paste),Zandu Chyawanprash Awaleha,1,1,1,ed9df8f63d4c44e69c3a6dd0adbb61d8,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,171787,,2021-01-12 15:03:51+00,315.0000,tempcode-9-1-2021_934
Alprax 0.25 MG (strip of 15 tablets),Alprax,15,15,1,871f2f66597a4d55826e52e7d2529712,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,186985,ALPRATN15A,2021-01-12 15:03:51+00,1.6033,tempcode-9-1-2021_325
Penidure La 12lacs powdered for injection,Penidure La,1,5,1,3a5d92b5580346f48efe253809997ecc,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,5853,PENIDIN01A,2021-01-12 15:03:51+00,20.3500,152270
Kz Dusting 100GM powder,Kz Dusting,1,1,1,80dbf694bf514dd0aa5ba783d3da6285,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,162692,KZZZZPB01A,2021-01-12 15:03:51+00,159.0000,I02030
Clopitab 150 mg (strip of 10 tablets),Clopitab,10,30,1,8f154c33d541423196d32b769fb64c73,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,44297,CLOPITS04A,2021-01-12 15:03:51+00,10.8300,140815
Bournvita Jar 1000 gm powder,Bournvita Jar,1,1,1,8f472b444fd84256b64114ad1630ba9f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,90440,BOURNPJ01A,2021-01-12 15:03:51+00,410.0000,Apr 30th Ord 63
Bournvita pouch 500 gm powder,Bournvita pouch,1,1,1,e35179ce69924fe4827c9aded2f8dfac,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,102267,BOURNPR01A,2021-01-12 15:03:51+00,209.0000,tempcode_08_04_2020_am90
Kk Herbal Neem 100 ml (bottle of 1 oil),Kk Herbal Neem,1,1,1,8c9a3c8d07b942b7bef22ba128742955,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,165060,KKHEROB06A,2021-01-12 15:03:51+00,90.0000,tempcode-9-1-2021_637
Bournvita Jar 500 gm powder,Bournvita Jar,1,1,1,42c3c4e0401245e2bb1a5afc048f1c54,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,172775,BOURNPJ02A,2021-01-12 15:03:51+00,223.0000,tempcode-9-1-2021_386
Encorate Chrono 600 mg (strip of 10 tablets),Encorate Chrono,10.0,60,1,b3284b40d0554d5fb3f1d1b321e5b5b6,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,86387,ENCORTN08A,2021-01-12 15:03:51+00,14.9000,250091
Rivamer 1.5 mg (strip of 10 capsules),Rivamer,10.0,10,1,349f6921a5f14992a18675275c6dcfb6,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,8067,RIVAMCN01A,2021-01-12 15:03:51+00,14.6000,164043
Myclin O (box of 1 ear drops),Myclin O,1,1,1,1c39d694baa04dc4ae75765911fe6b8c,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,95919,MYCLIEN03A,2021-01-12 15:03:51+00,32.9000,tempcode-9-1-2021_876
Otek Ac (box of 1 ear drops),Otek Ac,1,1,1,9f6377c034544b78aae9230d1d2f8d0f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,138591,GLOTEEB01A,2021-01-12 15:03:51+00,55.0000,tempcode-9-1-2021_712
Gluformin I 0.5 mg (strip of 15 tablets),Gluformin I,15,15,1,2136075d66c440c2886525f1c8c25b2f,MAHAVEER MEDI-SALES PVT. LTD.,162202,1647953,121647,GLUFOTS05A,2021-01-12 15:03:51+00,2.0840,600439
